UserName,RepoName,RepoUrl,UserIDUrl,Star
ohmyzsh,ohmyzsh,https://github.com/ohmyzsh/ohmyzsh,https://github.com/ohmyzsh,140000
httpie,httpie,https://github.com/httpie/httpie,https://github.com/httpie,53700
junegunn,fzf,https://github.com/junegunn/fzf,https://github.com/junegunn,41900
sharkdp,bat,https://github.com/sharkdp/bat,https://github.com/sharkdp,32200
wagoodman,dive,https://github.com/wagoodman/dive,https://github.com/wagoodman,29900
sherlock-project,sherlock,https://github.com/sherlock-project/sherlock,https://github.com/sherlock-project,29300
BurntSushi,ripgrep,https://github.com/BurntSushi/ripgrep,https://github.com/BurntSushi,29300
chubin,cheat.sh,https://github.com/chubin/cheat.sh,https://github.com/chubin,28100
cli,cli,https://github.com/cli/cli,https://github.com/cli,27100
jesseduffield,lazygit,https://github.com/jesseduffield/lazygit,https://github.com/jesseduffield,25800
angular,angular-cli,https://github.com/angular/angular-cli,https://github.com/angular,25200
spf13,cobra,https://github.com/spf13/cobra,https://github.com/spf13,25100
alebcay,awesome-shell,https://github.com/alebcay/awesome-shell,https://github.com/alebcay,22900
google,python-fire,https://github.com/google/python-fire,https://github.com/google,21900
tqdm,tqdm,https://github.com/tqdm/tqdm,https://github.com/tqdm,21100
sharkdp,fd,https://github.com/sharkdp/fd,https://github.com/sharkdp,20500
ibraheemdev,modern-unix,https://github.com/ibraheemdev/modern-unix,https://github.com/ibraheemdev,20300
n8n-io,n8n,https://github.com/n8n-io/n8n,https://github.com/n8n-io,20200
vercel,pkg,https://github.com/vercel/pkg,https://github.com/vercel,19600
avajs,ava,https://github.com/avajs/ava,https://github.com/avajs,19600
chalk,chalk,https://github.com/chalk/chalk,https://github.com/chalk,18000
vadimdemedes,ink,https://github.com/vadimdemedes/ink,https://github.com/vadimdemedes,17700
urfave,cli,https://github.com/urfave/cli,https://github.com/urfave,17300
svg,svgo,https://github.com/svg/svgo,https://github.com/svg,17300
gpakosz,.tmux,https://github.com/gpakosz/.tmux,https://github.com/gpakosz,15900
allinurl,goaccess,https://github.com/allinurl/goaccess,https://github.com/allinurl,14300
FormidableLabs,webpack-dashboard,https://github.com/FormidableLabs/webpack-dashboard,https://github.com/FormidableLabs,13900
infinitered,ignite,https://github.com/infinitered/ignite,https://github.com/infinitered,13500
jarun,nnn,https://github.com/jarun/nnn,https://github.com/jarun,13400
asdf-vm,asdf,https://github.com/asdf-vm/asdf,https://github.com/asdf-vm,13000
