UserName,RepoName,RepoUrl,UserIDUrl,Star
CyC2018,CS-Notes,https://github.com/CyC2018/CS-Notes,https://github.com/CyC2018,146000
practical-tutorials,project-based-learning,https://github.com/practical-tutorials/project-based-learning,https://github.com/practical-tutorials,62400
azl397985856,leetcode,https://github.com/azl397985856/leetcode,https://github.com/azl397985856,46300
x64dbg,x64dbg,https://github.com/x64dbg/x64dbg,https://github.com/x64dbg,38100
fffaraz,awesome-cpp,https://github.com/fffaraz/awesome-cpp,https://github.com/fffaraz,35700
microsoft,calculator,https://github.com/microsoft/calculator,https://github.com/microsoft,23500
CMU-Perceptual-Computing-Lab,openpose,https://github.com/CMU-Perceptual-Computing-Lab/openpose,https://github.com/CMU-Perceptual-Computing-Lab,23300
huihut,interview,https://github.com/huihut/interview,https://github.com/huihut,22100
youngyangyang04,leetcode-master,https://github.com/youngyangyang04/leetcode-master,https://github.com/youngyangyang04,22000
yuzu-emu,yuzu,https://github.com/yuzu-emu/yuzu,https://github.com/yuzu-emu,18600
TheAlgorithms,C-Plus-Plus,https://github.com/TheAlgorithms/C-Plus-Plus,https://github.com/TheAlgorithms,17800
changkun,modern-cpp-tutorial,https://github.com/changkun/modern-cpp-tutorial,https://github.com/changkun,16400
microsoft,vcpkg,https://github.com/microsoft/vcpkg,https://github.com/microsoft,14800
ethereum,solidity,https://github.com/ethereum/solidity,https://github.com/ethereum,14600
catchorg,Catch2,https://github.com/catchorg/Catch2,https://github.com/catchorg,14500
gabime,spdlog,https://github.com/gabime/spdlog,https://github.com/gabime,13800
AnthonyCalandra,modern-cpp-features,https://github.com/AnthonyCalandra/modern-cpp-features,https://github.com/AnthonyCalandra,13400
Qv2ray,Qv2ray,https://github.com/Qv2ray/Qv2ray,https://github.com/Qv2ray,13100
facebook,infer,https://github.com/facebook/infer,https://github.com/facebook,12900
CoatiSoftware,Sourcetrail,https://github.com/CoatiSoftware/Sourcetrail,https://github.com/CoatiSoftware,12400
google,tink,https://github.com/google/tink,https://github.com/google,12000
ssloy,tinyrenderer,https://github.com/ssloy/tinyrenderer,https://github.com/ssloy,12000
doocs,leetcode,https://github.com/doocs/leetcode,https://github.com/doocs,12000
antlr,antlr4,https://github.com/antlr/antlr4,https://github.com/antlr,11500
kyleneideck,BackgroundMusic,https://github.com/kyleneideck/BackgroundMusic,https://github.com/kyleneideck,10900
SFTtech,openage,https://github.com/SFTtech/openage,https://github.com/SFTtech,10800
OpenRCT2,OpenRCT2,https://github.com/OpenRCT2/OpenRCT2,https://github.com/OpenRCT2,10200
compiler-explorer,compiler-explorer,https://github.com/compiler-explorer/compiler-explorer,https://github.com/compiler-explorer,10100
Ciphey,Ciphey,https://github.com/Ciphey/Ciphey,https://github.com/Ciphey,9400
hmemcpy,milewski-ctfp-pdf,https://github.com/hmemcpy/milewski-ctfp-pdf,https://github.com/hmemcpy,9200
