UserName,RepoName,RepoUrl,UserIDUrl,Star
justjavac,free-programming-books-zh_CN,https://github.com/justjavac/free-programming-books-zh_CN,https://github.com/justjavac,87000
angular,angular,https://github.com/angular/angular,https://github.com/angular,79400
storybookjs,storybook,https://github.com/storybookjs/storybook,https://github.com/storybookjs,68600
leonardomso,33-js-concepts,https://github.com/leonardomso/33-js-concepts,https://github.com/leonardomso,46400
ionic-team,ionic-framework,https://github.com/ionic-team/ionic-framework,https://github.com/ionic-team,46300
prettier,prettier,https://github.com/prettier/prettier,https://github.com/prettier,41800
SheetJS,sheetjs,https://github.com/SheetJS/sheetjs,https://github.com/SheetJS,28900
angular,angular-cli,https://github.com/angular/angular-cli,https://github.com/angular,25200
angular,components,https://github.com/angular/components,https://github.com/angular,22500
NativeScript,NativeScript,https://github.com/NativeScript/NativeScript,https://github.com/NativeScript,20900
jhipster,generator-jhipster,https://github.com/jhipster/generator-jhipster,https://github.com/jhipster,19300
pubkey,rxdb,https://github.com/pubkey/rxdb,https://github.com/pubkey,17000
handsontable,handsontable,https://github.com/handsontable/handsontable,https://github.com/handsontable,16200
teambit,bit,https://github.com/teambit/bit,https://github.com/teambit,14700
goldbergyoni,javascript-testing-best-practices,https://github.com/goldbergyoni/javascript-testing-best-practices,https://github.com/goldbergyoni,14400
sweetalert2,sweetalert2,https://github.com/sweetalert2/sweetalert2,https://github.com/sweetalert2,14100
linnovate,mean,https://github.com/linnovate/mean,https://github.com/linnovate,12100
codesandbox,codesandbox-client,https://github.com/codesandbox/codesandbox-client,https://github.com/codesandbox,11200
nrwl,nx,https://github.com/nrwl/nx,https://github.com/nrwl,10600
PatrickJS,angular-starter,https://github.com/PatrickJS/angular-starter,https://github.com/PatrickJS,10400
Chocobozzz,PeerTube,https://github.com/Chocobozzz/PeerTube,https://github.com/Chocobozzz,10300
angular,protractor,https://github.com/angular/protractor,https://github.com/angular,8800
OnsenUI,OnsenUI,https://github.com/OnsenUI/OnsenUI,https://github.com/OnsenUI,8500
dotansimha,graphql-code-generator,https://github.com/dotansimha/graphql-code-generator,https://github.com/dotansimha,8200
PatrickJS,awesome-angular,https://github.com/PatrickJS/awesome-angular,https://github.com/PatrickJS,8200
text-mask,text-mask,https://github.com/text-mask/text-mask,https://github.com/text-mask,8100
ag-grid,ag-grid,https://github.com/ag-grid/ag-grid,https://github.com/ag-grid,8000
NG-ZORRO,ng-zorro-antd,https://github.com/NG-ZORRO/ng-zorro-antd,https://github.com/NG-ZORRO,7900
sudheerj,javascript-interview-questions,https://github.com/sudheerj/javascript-interview-questions,https://github.com/sudheerj,7900
ng-bootstrap,ng-bootstrap,https://github.com/ng-bootstrap/ng-bootstrap,https://github.com/ng-bootstrap,7900
