UserName,RepoName,RepoUrl,UserIDUrl,Star
ovity,octotree,https://github.com/ovity/octotree,https://github.com/ovity,21800
gitpod-io,gitpod,https://github.com/gitpod-io/gitpod,https://github.com/gitpod-io,7000
danger,danger,https://github.com/danger/danger,https://github.com/danger,4700
reviewdog,reviewdog,https://github.com/reviewdog/reviewdog,https://github.com/reviewdog,4700
danger,danger-js,https://github.com/danger/danger-js,https://github.com/danger,4200
joho,awesome-code-review,https://github.com/joho/awesome-code-review,https://github.com/joho,3300
houndci,hound,https://github.com/houndci/hound,https://github.com/houndci,1900
ajinabraham,nodejsscan,https://github.com/ajinabraham/nodejsscan,https://github.com/ajinabraham,1900
mbj,mutant,https://github.com/mbj/mutant,https://github.com/mbj,1800
microsoft,vscode-pull-request-github,https://github.com/microsoft/vscode-pull-request-github,https://github.com/microsoft,1800
crev-dev,cargo-crev,https://github.com/crev-dev/cargo-crev,https://github.com/crev-dev,1500
reviewboard,reviewboard,https://github.com/reviewboard/reviewboard,https://github.com/reviewboard,1400
ryanmcdermott,code-review-tips,https://github.com/ryanmcdermott/code-review-tips,https://github.com/ryanmcdermott,1100
bit4woo,python_sec,https://github.com/bit4woo/python_sec,https://github.com/bit4woo,1100
code-review-checklists,java-concurrency,https://github.com/code-review-checklists/java-concurrency,https://github.com/code-review-checklists,1000
Tencent,CodeAnalysis,https://github.com/Tencent/CodeAnalysis,https://github.com/Tencent,984
jiangsir404,Audit-Learning,https://github.com/jiangsir404/Audit-Learning,https://github.com/jiangsir404,821
TeamCodeStream,codestream,https://github.com/TeamCodeStream/codestream,https://github.com/TeamCodeStream,732
enlightn,enlightn,https://github.com/enlightn/enlightn,https://github.com/enlightn,615
palantir,policy-bot,https://github.com/palantir/policy-bot,https://github.com/palantir,447
bsamseth,cpp-project,https://github.com/bsamseth/cpp-project,https://github.com/bsamseth,442
uwolfer,gerrit-intellij-plugin,https://github.com/uwolfer/gerrit-intellij-plugin,https://github.com/uwolfer,429
mookid,diffr,https://github.com/mookid/diffr,https://github.com/mookid,410
mgreiler,code-review-checklist,https://github.com/mgreiler/code-review-checklist,https://github.com/mgreiler,393
JetBrains,Qodana,https://github.com/JetBrains/Qodana,https://github.com/JetBrains,347
dpnishant,raptor,https://github.com/dpnishant/raptor,https://github.com/dpnishant,327
sjparkinson,static-review,https://github.com/sjparkinson/static-review,https://github.com/sjparkinson,326
burrito-brothers,shiba,https://github.com/burrito-brothers/shiba,https://github.com/burrito-brothers,288
charignon,github-review,https://github.com/charignon/github-review,https://github.com/charignon,275
wandersoncferreira,code-review,https://github.com/wandersoncferreira/code-review,https://github.com/wandersoncferreira,263
